frame,t,T_01,T_02,T_03,T_04,T_05,T_06,T_07,T_08,T_09,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,T_25,T_26,T_27,T_28
215,3.583333,96.79436492919922,62.54115295410156,47.6797981262207,57.974918365478516,128.52731323242188,279.3959655761719,463.30560302734375,149.66061401367188,163.2574005126953,773.235107421875,1363.2169189453125,387.90899658203125,123.51470947265625,741.8362426757812,1323.608154296875,281.99920654296875,276.7870788574219,597.1858520507812,745.13037109375,179.02713012695312,276.3810729980469,90.98406219482422,109.31553649902344,23.514793395996094,101.83900451660156,-0.33089184761047363,9.42753791809082,39.018375396728516
216,3.600000,95.4905014038086,60.87903594970703,46.72856521606445,56.12172317504883,127.6523208618164,279.1594543457031,461.416015625,147.2015380859375,162.03843688964844,772.2763061523438,1361.709716796875,387.4127502441406,122.6864013671875,741.761962890625,1325.958984375,284.82733154296875,278.1912536621094,600.4797973632812,750.1625366210938,183.5725860595703,277.2318420410156,92.27337646484375,109.84624481201172,22.45940399169922,101.26304626464844,-0.9155323505401611,8.95377254486084,38.27410125732422
217,3.616667,96.63685607910156,62.140289306640625,47.65562057495117,57.350006103515625,127.93692779541016,278.6076354980469,461.0366516113281,147.07559204101562,161.80413818359375,768.7691040039062,1355.8951416015625,386.2082214355469,124.07118225097656,738.6261596679688,1319.3504638671875,284.475830078125,276.8133850097656,596.1275024414062,744.7451171875,181.20648193359375,275.1415710449219,90.39292907714844,108.63797760009766,22.914409637451172,101.51763916015625,-0.34877514839172363,9.338884353637695,38.93691635131836
218,3.633333,95.75584411621094,60.47595977783203,46.08018112182617,55.261016845703125,127.88870239257812,278.53411865234375,457.13153076171875,144.33053588867188,160.2371063232422,767.1668090820312,1351.84130859375,385.03387451171875,123.48696899414062,739.9284057617188,1321.1390380859375,286.70867919921875,277.09136962890625,597.1814575195312,750.2823486328125,185.99127197265625,275.28167724609375,90.5457763671875,108.40923309326172,23.23019027709961,101.10884094238281,-0.5955421924591064,8.656274795532227,38.66866683959961
219,3.650000,96.75260162353516,62.28106689453125,47.46271896362305,56.67683792114258,127.85686492919922,278.6676025390625,458.7399597167969,144.80824279785156,160.46102905273438,765.4173583984375,1349.4432373046875,384.31903076171875,124.21394348144531,736.4246215820312,1315.6085205078125,285.3402404785156,276.5685119628906,594.8832397460938,745.069580078125,182.96499633789062,274.409423828125,89.76670837402344,107.8407211303711,23.099407196044922,101.60806274414062,-0.017449630424380302,9.120128631591797,39.02519226074219
220,3.666667,95.97611999511719,62.57579803466797,47.43966293334961,56.07212448120117,126.70930480957031,279.625244140625,460.465087890625,143.9404296875,159.9777069091797,765.6036376953125,1351.8609619140625,384.37774658203125,123.42744445800781,734.6630249023438,1318.1612548828125,287.07891845703125,277.6402282714844,598.2511596679688,747.8157958984375,184.03990173339844,276.5472412109375,92.62226867675781,109.80657196044922,21.493057250976562,101.74730682373047,-0.1727593094110489,9.056608200073242,38.661685943603516
221,3.683333,95.34095764160156,61.761539459228516,46.477508544921875,54.81266403198242,126.8326187133789,279.2138977050781,457.3983154296875,142.28839111328125,159.3463592529297,764.7796020507812,1348.7310791015625,383.1883544921875,124.32275390625,736.2932739257812,1318.5830078125,288.75,277.5945129394531,598.4785766601562,750.6385498046875,186.26344299316406,275.6336364746094,91.87837219238281,109.36763763427734,21.96609878540039,101.0417709350586,0.02438424713909626,8.79654312133789,38.62631607055664
222,3.700000,95.20541381835938,61.56322479248047,46.17878341674805,54.2459602355957,127.5091323852539,279.498046875,456.4315490722656,141.75360107421875,160.09486389160156,764.9453735351562,1347.682861328125,383.5270690917969,125.3578872680664,737.9276123046875,1319.5604248046875,290.3059997558594,278.7901611328125,598.6260986328125,750.6417236328125,187.5399169921875,276.6846008300781,92.08136749267578,108.888427734375,21.78481674194336,101.16093444824219,0.06774018704891205,8.59553050994873,38.57952880859375
223,3.716667,95.22695922851562,62.16126251220703,45.96794128417969,54.24797821044922,127.43058013916016,279.9110412597656,456.562255859375,141.7934112548828,160.35311889648438,766.7991333007812,1349.504638671875,382.981201171875,126.79325866699219,741.2184448242188,1321.4849853515625,290.1906433105469,278.88067626953125,600.0723876953125,749.7794799804688,184.992431640625,277.39996337890625,92.54222106933594,109.00650787353516,21.204065322875977,101.29508972167969,0.2522609233856201,8.828413009643555,38.91828536987305
224,3.733333,94.9211196899414,60.66994857788086,44.762977600097656,52.617401123046875,127.80744171142578,281.8980407714844,454.6783142089844,140.08935546875,160.5614776611328,769.1239624023438,1348.3319091796875,382.8292236328125,127.78169250488281,745.1742553710938,1325.126708984375,292.66363525390625,279.43182373046875,600.752685546875,752.82861328125,187.70111083984375,277.7177429199219,92.79435729980469,108.90127563476562,21.347606658935547,101.2431411743164,-0.09170271456241608,8.354483604431152,38.8825569152832
225,3.750000,96.37319946289062,63.182613372802734,46.68278503417969,55.02897644042969,128.09291076660156,283.36944580078125,459.3135986328125,141.93222045898438,161.83819580078125,768.5211181640625,1347.9705810546875,382.52398681640625,128.20175170898438,739.2658081054688,1316.043212890625,288.8482666015625,278.9898986816406,597.2694091796875,742.9329833984375,181.6356201171875,278.1161804199219,92.77401733398438,108.5971450805664,20.650592803955078,102.3777847290039,0.3701159954071045,9.247742652893066,39.15826416015625
226,3.766667,95.64007568359375,61.990272521972656,45.418094635009766,53.795772552490234,127.95812225341797,282.0985412597656,456.4638366699219,141.3037567138672,161.0309600830078,766.80322265625,1346.9981689453125,383.66448974609375,128.09957885742188,741.1394653320312,1320.8570556640625,292.234619140625,279.1843566894531,598.0057373046875,748.0677490234375,185.46658325195312,278.3014221191406,92.51451873779297,108.62203216552734,21.032024383544922,101.873046875,0.26463961601257324,8.867709159851074,38.989112854003906
227,3.783333,95.23222351074219,60.596195220947266,43.862796783447266,53.0855598449707,127.08866119384766,277.5074462890625,451.7763366699219,141.91661071777344,156.84706115722656,760.3843383789062,1345.7501220703125,386.4617919921875,125.78456115722656,741.7089233398438,1327.9915771484375,296.4178161621094,277.3194274902344,596.0411376953125,757.842041015625,192.60154724121094,276.1880798339844,90.24469757080078,108.25530242919922,24.14594078063965,101.01333618164062,0.6374766826629639,7.8151140213012695,39.57100296020508
228,3.800000,95.28422546386719,59.07098388671875,43.13932418823242,52.33200454711914,127.58821105957031,275.57928466796875,447.4869384765625,140.2145233154297,157.29769897460938,757.9007568359375,1339.9671630859375,385.50408935546875,125.05752563476562,740.3301391601562,1327.8739013671875,297.3099060058594,278.4114990234375,595.0114135742188,758.9212646484375,196.6292724609375,276.8292541503906,89.68050384521484,106.61986541748047,24.12925148010254,101.411376953125,-0.20367170870304108,7.426231384277344,39.18239974975586
229,3.816667,95.52688598632812,59.763275146484375,43.328826904296875,53.025997161865234,127.90177154541016,276.6745300292969,447.83514404296875,139.70433044433594,156.9863739013672,758.0729370117188,1337.776123046875,382.1250915527344,123.08259582519531,735.50634765625,1320.30615234375,291.70648193359375,277.6194763183594,595.6738891601562,755.36767578125,191.89549255371094,277.599853515625,91.0777587890625,107.38562774658203,23.66782569885254,101.82447814941406,-0.15828825533390045,7.784597396850586,39.525108337402344
230,3.833333,96.53301239013672,61.07366943359375,45.07248306274414,54.91411209106445,127.69786071777344,277.4289245605469,450.9537353515625,140.77828979492188,158.15135192871094,757.6729125976562,1337.8546142578125,381.9601135253906,123.08698272705078,730.4984130859375,1314.857421875,289.1971435546875,277.24420166015625,593.4279174804688,749.3331298828125,188.30685424804688,277.541748046875,91.33576965332031,107.63126373291016,23.463788986206055,102.60356140136719,-0.5132973194122314,8.390361785888672,39.72667694091797
231,3.850000,96.1278076171875,59.93256378173828,43.27376174926758,53.78425979614258,127.58802032470703,276.33258056640625,447.28082275390625,139.86451721191406,157.3205108642578,758.2166137695312,1336.9415283203125,380.15087890625,122.41961669921875,732.2377319335938,1317.48828125,288.1807861328125,276.46966552734375,594.3088989257812,753.0037231445312,188.41534423828125,278.1142272949219,91.58232879638672,107.76225280761719,23.718042373657227,102.46791076660156,-0.5998013019561768,8.136549949645996,40.06563186645508
232,3.866667,95.40519714355469,56.61167907714844,41.368858337402344,51.90526580810547,127.82415771484375,272.3255310058594,440.049072265625,138.42120361328125,154.76431274414062,751.091064453125,1328.5303955078125,380.37261962890625,119.11076354980469,729.2316284179688,1318.0595703125,289.7286682128906,275.70379638671875,590.0546264648438,759.40869140625,196.99826049804688,276.80841064453125,89.43315887451172,106.3699951171875,26.614286422729492,102.1610107421875,-1.0653870105743408,7.016287803649902,39.80068588256836
233,3.883333,47.17115020751953,38.9294548034668,-4.927759647369385,27.5873966217041,41.238731384277344,354.6782531738281,440.1190490722656,121.21521759033203,106.28008270263672,1009.3280029296875,1397.2774658203125,301.0989074707031,234.6783905029297,1248.3167724609375,1417.70654296875,240.5773468017578,26.654478073120117,567.8989868164062,664.0530395507812,-15.290583610534668,168.7422332763672,203.68093872070312,219.8782196044922,46.43704605102539,77.43508911132812,33.439796447753906,6.382192611694336,79.19969177246094
234,3.900000,33.27043151855469,59.862281799316406,-25.010419845581055,53.857059478759766,120.10457611083984,360.8996887207031,412.6122131347656,226.75296020507812,254.61204528808594,1061.630859375,1513.635009765625,475.0712890625,423.4889221191406,1407.6778564453125,1668.3856201171875,499.51434326171875,33.7151985168457,443.5860290527344,764.4015502929688,109.34418487548828,183.67758178710938,249.79452514648438,366.1360168457031,144.32254028320312,90.92601776123047,73.39205932617188,76.63431549072266,165.5698699951172
235,3.916667,27.748924255371094,135.1502685546875,77.2858657836914,141.2493133544922,311.7225341796875,541.9651489257812,562.7903442382812,330.0575866699219,498.3946228027344,1046.885009765625,1624.0699462890625,896.7269287109375,433.47271728515625,1008.7713012695312,1646.93115234375,858.5404663085938,130.45382690429688,277.2073669433594,841.3876953125,490.7976379394531,130.10009765625,217.20193481445312,431.37322998046875,183.17991638183594,75.59445190429688,130.68458557128906,195.1793975830078,237.6873779296875
236,3.933333,6.678470611572266,195.34127807617188,378.59326171875,523.9365844726562,2.3000800609588623,482.6206970214844,1051.1214599609375,802.8319702148438,250.8780975341797,1087.8037109375,2186.71826171875,1657.5814208984375,312.6446838378906,974.9332885742188,1743.9912109375,1377.342041015625,54.469337463378906,633.227783203125,1119.3909912109375,994.6962280273438,-58.3066520690918,-60.189605712890625,165.8602752685547,129.09812927246094,28.20242691040039,101.90678405761719,204.70005798339844,277.90045166015625
237,3.950000,9.665153503417969,-8.008706092834473,158.7961883544922,475.88671875,32.04354476928711,313.8379211425781,1108.012939453125,880.8235473632812,470.9961853027344,1501.16259765625,2720.9453125,1986.6759033203125,387.76055908203125,1382.2401123046875,2445.350830078125,1659.15576171875,203.658203125,1094.651123046875,2010.328857421875,1557.263427734375,-53.51941680908203,-10.104706764221191,725.3418579101562,560.8682861328125,190.20460510253906,416.8802795410156,596.8348388671875,777.5558471679688
238,3.966667,145.65219116210938,22.473020553588867,404.892822265625,773.8793334960938,143.7415771484375,711.3764038085938,1863.533935546875,1265.7679443359375,698.140625,1999.243408203125,3228.327392578125,2483.22509765625,567.8311767578125,1889.2027587890625,3101.6767578125,2115.981689453125,393.7992248535156,1447.3922119140625,2695.25146484375,1994.034912109375,-72.81916046142578,49.138946533203125,1103.0146484375,676.107421875,95.49102783203125,278.7547912597656,500.3127136230469,730.6747436523438
239,3.983333,189.23086547851562,86.94204711914062,388.3927001953125,687.9790649414062,72.35002899169922,968.7219848632812,2137.0693359375,1399.8118896484375,454.09405517578125,1631.1864013671875,3101.79052734375,2796.197509765625,461.3762512207031,1645.4036865234375,3146.828857421875,2545.926513671875,271.526123046875,1272.4002685546875,2619.312255859375,2396.087158203125,-10.989684104919434,234.6373748779297,1221.8265380859375,875.795654296875,81.60830688476562,147.85775756835938,430.38116455078125,572.3325805664062
240,4.000000,171.45208740234375,76.69120788574219,298.03515625,459.996826171875,52.78163146972656,935.2017211914062,1993.3043212890625,1216.1014404296875,379.2353515625,1451.895263671875,3013.99609375,2597.835693359375,398.7677001953125,1411.9385986328125,3100.596923828125,2417.205078125,171.46652221679688,1207.119140625,2568.19921875,2262.748046875,37.98988342285156,301.3821716308594,1249.99609375,911.087890625,85.61219024658203,59.68388748168945,353.2674865722656,426.07659912109375
241,4.016667,76.41303253173828,3.4179255962371826,-12.706781387329102,143.15296936035156,215.0581817626953,934.7299194335938,1813.198486328125,1141.8846435546875,525.6583251953125,1498.074462890625,2929.23095703125,2112.44189453125,529.7546997070312,1675.6611328125,3167.5830078125,2155.347412109375,280.6314392089844,1511.3785400390625,2805.124267578125,2189.500732421875,333.5088806152344,885.3353881835938,1777.108642578125,1352.64013671875,221.3343048095703,116.3545913696289,233.03231811523438,446.582275390625
242,4.033333,77.50988006591797,-3.239896059036255,-0.24505087733268738,159.69627380371094,214.78436279296875,905.5552978515625,1795.6136474609375,1141.36865234375,539.9263916015625,1512.0552978515625,2939.822021484375,2134.695556640625,526.29736328125,1661.4986572265625,3157.17333984375,2164.466796875,265.22540283203125,1459.4461669921875,2776.462646484375,2194.1611328125,320.53515625,876.9915771484375,1759.885009765625,1328.2677001953125,221.94834899902344,130.45982360839844,233.39633178710938,452.4204406738281
243,4.050000,73.98394012451172,-1.9874165058135986,27.119722366333008,192.4462127685547,158.28651428222656,902.3591918945312,1847.7332763671875,1178.0704345703125,476.82733154296875,1474.412109375,3024.22314453125,2304.760498046875,477.015380859375,1591.27978515625,3232.447021484375,2310.275146484375,256.5750427246094,1487.851806640625,2826.007080078125,2284.65966796875,229.43728637695312,743.2569580078125,1669.780029296875,1215.859375,165.66481018066406,83.66400146484375,219.34597778320312,401.3887023925781
244,4.066667,71.93524932861328,-0.6817105412483215,18.64729118347168,180.69163513183594,161.71383666992188,911.7686767578125,1853.4407958984375,1176.1334228515625,480.59112548828125,1486.6610107421875,3024.88427734375,2280.969482421875,482.49627685546875,1618.2769775390625,3245.735107421875,2292.22509765625,261.337890625,1512.5228271484375,2855.451904296875,2277.18505859375,242.99217224121094,771.448974609375,1703.29833984375,1237.0849609375,171.7292938232422,84.88185119628906,212.52621459960938,404.2884521484375
245,4.083333,69.40974426269531,0.03761548548936844,20.607542037963867,174.88316345214844,154.17015075683594,923.3507690429688,1877.0255126953125,1184.9088134765625,477.32257080078125,1501.3768310546875,3057.009765625,2297.487548828125,478.2533874511719,1622.0137939453125,3254.21044921875,2290.974853515625,260.80499267578125,1533.3367919921875,2889.577392578125,2291.5859375,237.47824096679688,777.4752197265625,1716.041015625,1235.7034912109375,167.94468688964844,84.02149963378906,202.36602783203125,390.1539611816406
